1520869504.000000, 1520869504.000000, 1520869504.000000
32.000000, 32.000000, 32.000000
54,4,32
54,4,32
55,4,32
54,4,32
54,4,32
54,4,32
54,3,32
55,4,32
53,4,33
54,3,33
53,3,33
54,3,32
54,3,32
54,4,33
53,4,33
53,5,33
53,5,34
53,5,34
53,5,33
53,4,33
55,4,33
55,4,33
55,5,34
54,5,35
50,1,33
54,4,36
47,-1,37
53,-1,39
57,-21,40
52,4,40
56,-3,35
56,0,36
58,5,37
59,8,34
62,11,31
62,10,27
61,16,21
68,20,19
69,21,13
65,34,19
34,35,27
29,36,28
45,33,18
51,33,19
44,29,29
55,30,14
46,39,-8
52,41,-5
33,43,-20
19,41,-30
30,40,-29
41,40,-24
25,35,-23
36,35,-32
32,37,-37
34,34,-32
28,37,-47
23,40,-53
20,36,-63
38,41,-41
26,39,-42
30,37,-39
35,38,-34
31,42,-37
32,46,-38
31,47,-35
25,47,-32
24,47,-37
18,48,-39
17,46,-32
22,48,-34
21,47,-33
23,49,-33
21,52,-40
22,54,-39
23,53,-32
21,52,-32
27,51,-28
23,51,-21
23,49,-17
29,51,-18
26,52,-23
14,54,-25
23,52,-20
24,55,-19
34,53,-14
41,51,-11
35,48,-14
36,45,-12
42,44,-19
48,44,-16
48,42,-12
52,44,-17
37,39,-13
50,40,-8
50,41,-6
43,36,-10
53,31,10
60,30,8
50,29,-3
51,28,-2
50,27,-11
49,26,-14
55,32,-16
58,30,-15
53,31,-17
56,28,-19
64,26,-14
54,36,-34
45,35,-33
51,33,-28
58,34,-28
51,35,-26
51,31,-21
54,33,-18
45,31,-11
50,31,-8
51,31,-6
48,34,-24
45,37,-28
52,37,-26
48,37,-21
43,36,-24
51,32,-16
50,32,-17
52,32,-17
54,32,-12
45,31,-17
55,31,-8
48,31,-11
51,31,2
56,30,-3
65,30,-10
49,29,-13
59,27,6
55,29,5
58,32,5
53,34,4
47,32,2
60,23,27
44,21,23
43,23,24
41,24,38
31,24,33
58,24,18
62,27,7
56,25,3
63,27,2
60,27,0
57,25,9
54,25,7
59,25,-1
62,27,-2
75,26,5
57,26,-9
54,26,-7
59,25,-3
57,27,-5
52,27,-4
57,27,-1
59,27,-2
56,28,-5
60,29,-3
57,27,3
61,27,4
49,29,-1
52,28,10
56,28,11
50,27,13
52,26,16
49,22,15
58,23,21
59,20,20
57,19,21
52,22,17
56,22,16
51,25,10
68,24,9
53,24,5
50,24,5
53,25,5
55,24,2
65,22,5
69,22,9
60,25,2
72,24,2
69,25,0
53,26,-15
58,25,-12
61,28,-10
52,28,-17
53,30,-15
65,31,-16
61,34,-22
62,36,-17
62,37,-15
51,39,-15
45,42,-11
39,45,-11
43,47,-5
44,51,-3
37,56,-4
36,58,-2
29,59,-4
18,63,3
15,62,3
13,57,8
11,55,13
7,51,14
-1,49,21
0,50,22
1,46,28
4,44,32
5,48,28
9,46,27
14,49,33
11,56,24
15,60,19
16,63,21
11,65,18
10,64,21
14,64,22
15,63,25
6,60,24
3,59,23
4,58,17
8,58,20
12,58,24
5,57,22
13,54,24
12,57,19
12,60,18
19,61,23
16,61,21
11,64,20
-1,61,16
3,55,24
1,54,24
7,53,25
9,47,23
9,44,17
12,46,15
16,49,13
24,48,15
35,51,20
43,59,19
49,68,12
76,81,12
67,77,23
48,71,29
37,70,24
18,56,21
4,50,18
2,48,16
6,45,20
5,45,18
9,45,17
12,45,19
17,50,24
16,54,20
17,56,21
17,63,22
17,62,24
14,60,26
11,57,25
9,57,22
14,59,24
12,60,23
9,58,22
8,57,21
7,55,20
4,51,22
2,46,22
1,43,22
4,44,25
9,40,25
12,37,23
20,33,19
36,32,18
44,34,20
57,35,22
60,35,19
76,40,21
89,42,24
89,45,26
84,53,30
76,53,29
50,45,21
34,35,14
26,32,13
25,26,16
31,23,17
36,19,19
37,17,18
36,15,20
42,10,26
41,9,27
47,7,30
58,4,30
49,-2,29
61,-2,33
75,-5,35
71,-2,32
71,1,29
71,4,20
68,9,19
68,16,18
68,12,18
71,15,26
56,8,27
43,4,24
33,-5,24
40,-13,27
34,-44,44
72,-34,72
25,-40,46
10,-59,43
-3,-55,47
7,-59,56
12,-60,60
16,-77,58
14,-52,44
15,-46,37
34,-30,48
41,-10,50
56,1,51
64,5,43
82,21,27
71,20,4
61,20,-3
55,15,-9
53,5,-11
29,3,-16
17,-6,-21
27,-12,-17
57,-23,-2
60,-23,8
73,-17,13
95,-18,18
110,-15,30
109,-2,59
97,5,70
74,7,78
42,9,77
29,21,55
21,24,39
18,29,28
14,34,18
13,34,15
27,27,8
28,21,0
18,21,-15
51,-7,-19
68,-18,-12
52,-5,-1
55,-14,0
65,-19,14
78,-10,28
76,-9,25
70,2,17
64,-1,21
62,-9,26
61,-4,28
54,-13,23
46,-3,8
50,-5,12
52,-8,9
52,8,6
58,-3,21
64,-1,23
117,64,4
52,-14,16
47,-5,0
70,10,-2
55,10,1
57,12,4
54,5,2
56,16,-7
76,6,3
68,6,-1
61,10,-3
64,10,-2
58,8,-2
60,5,0
63,5,-3
61,7,-7
59,7,-9
64,8,-11
62,9,-11
