1520866167.000000, 1520866167.000000, 1520866167.000000
32.000000, 32.000000, 32.000000
13,-59,8
15,-59,10
19,-59,14
22,-58,15
14,-60,4
12,-61,6
13,-60,12
11,-61,9
11,-61,5
13,-62,3
13,-62,1
16,-60,3
17,-60,7
16,-58,16
10,-59,13
20,-59,15
25,-59,16
19,-59,9
14,-61,4
15,-60,5
12,-60,7
12,-61,8
16,-60,8
18,-60,7
19,-59,7
19,-59,10
17,-59,10
13,-61,7
14,-60,8
15,-60,8
16,-60,9
16,-59,10
14,-61,7
14,-60,8
11,-61,6
14,-60,7
16,-60,8
17,-60,8
15,-60,7
15,-60,8
15,-60,8
15,-61,8
15,-60,8
14,-60,8
14,-60,9
12,-60,9
11,-61,9
12,-60,8
13,-61,8
17,-60,9
17,-59,10
16,-60,11
14,-60,11
12,-61,9
14,-60,8
14,-60,9
14,-60,9
14,-60,10
14,-60,9
13,-60,8
14,-61,8
14,-60,8
14,-60,8
15,-60,9
15,-60,8
15,-60,9
15,-60,8
15,-60,8
15,-60,9
15,-60,9
16,-60,9
17,-60,9
17,-60,9
17,-60,9
18,-60,8
18,-60,8
21,-59,9
17,-60,10
10,-60,7
11,-61,4
15,-61,5
17,-60,6
20,-59,10
21,-59,12
14,-60,8
14,-61,6
14,-61,5
18,-59,9
21,-60,10
13,-60,10
10,-61,7
11,-61,6
17,-59,8
20,-59,10
19,-59,11
14,-60,10
11,-60,9
15,-60,8
16,-59,9
18,-60,11
17,-60,11
15,-60,8
15,-60,8
14,-60,10
13,-61,9
13,-61,7
17,-60,7
18,-60,8
21,-59,10
17,-59,10
15,-60,9
15,-60,8
16,-60,8
18,-60,8
18,-60,7
18,-60,8
18,-60,9
17,-60,9
18,-60,8
19,-59,8
18,-59,8
18,-60,8
18,-60,8
18,-60,7
17,-60,7
16,-60,8
15,-60,9
16,-60,8
18,-60,8
18,-60,8
17,-60,9
17,-59,8
16,-60,8
16,-60,8
15,-60,9
15,-60,9
15,-60,9
16,-60,9
16,-60,9
14,-60,9
15,-60,9
16,-60,9
16,-60,9
15,-60,9
15,-60,9
15,-60,9
15,-60,10
15,-60,10
15,-60,9
15,-60,9
15,-60,9
16,-60,9
17,-60,9
17,-59,9
15,-60,9
15,-60,9
17,-60,9
17,-60,10
16,-60,9
16,-60,8
16,-60,9
16,-60,9
16,-60,9
17,-60,9
16,-60,8
16,-60,9
15,-60,9
15,-60,9
16,-60,9
16,-60,9
17,-60,9
16,-60,9
16,-60,9
15,-60,9
15,-60,9
16,-60,9
16,-60,9
15,-60,9
16,-60,9
16,-60,9
16,-60,9
16,-60,9
16,-60,9
16,-60,9
16,-60,9
15,-60,9
16,-60,9
16,-60,9
15,-60,9
15,-60,9
15,-60,10
16,-60,9
16,-60,10
16,-60,9
15,-60,9
15,-60,9
16,-60,9
15,-60,10
15,-60,9
16,-60,9
16,-60,9
15,-60,9
15,-60,9
15,-60,9
16,-60,9
15,-60,9
16,-60,9
16,-60,10
15,-60,9
16,-60,9
16,-60,9
15,-60,9
15,-60,9
16,-60,9
16,-60,9
15,-60,9
16,-60,9
16,-60,9
15,-60,9
16,-60,9
16,-60,10
16,-60,9
16,-60,9
15,-60,9
16,-60,9
16,-60,9
16,-60,9
16,-60,10
15,-60,9
15,-60,9
15,-60,10
14,-59,12
17,-60,12
18,-60,10
16,-59,13
13,-60,9
15,-60,7
16,-59,6
10,-60,6
13,-60,4
21,-62,2
22,-62,1
15,-60,3
12,-61,7
13,-60,12
13,-59,13
15,-60,14
14,-60,8
14,-59,8
12,-60,9
11,-62,5
19,-60,3
16,-59,10
17,-60,13
16,-60,9
16,-62,5
16,-59,5
12,-61,7
16,-60,10
13,-60,7
17,-60,7
15,-60,4
15,-61,3
14,-60,3
16,-60,10
19,-60,13
20,-60,9
19,-59,6
16,-60,9
14,-59,12
12,-60,10
15,-60,5
16,-60,5
15,-61,1
15,-62,-1
21,-61,-2
21,-60,1
14,-60,5
15,-60,7
17,-60,8
18,-59,8
17,-60,8
18,-59,8
15,-63,1
13,-61,-1
15,-61,3
16,-61,5
15,-60,4
15,-61,3
16,-60,5
12,-61,4
12,-61,4
15,-60,5
19,-60,5
19,-60,3
19,-59,6
22,-59,8
22,-59,9
20,-59,9
14,-60,6
13,-60,6
15,-60,8
16,-60,6
14,-61,4
14,-60,4
14,-60,4
13,-61,1
12,-60,2
18,-60,9
18,-59,8
15,-60,6
18,-60,7
17,-59,6
17,-61,5
13,-61,4
16,-60,5
21,-59,8
20,-59,8
18,-60,7
19,-59,7
21,-60,7
16,-60,6
13,-60,4
16,-60,5
18,-59,8
15,-60,9
14,-60,9
17,-59,10
19,-60,9
17,-60,9
16,-61,6
16,-60,6
15,-61,4
21,-59,7
19,-58,9
17,-60,11
20,-59,12
15,-60,7
15,-60,7
17,-60,8
18,-60,7
14,-60,4
18,-59,7
20,-59,7
17,-60,5
13,-59,7
5,-60,7
2,-63,-1
5,-62,-8
18,-56,-3
15,-47,-3
23,-57,1
27,-53,4
26,-57,5
8,-57,-3
7,-67,-4
9,-67,-4
5,-72,0
4,-75,-6
3,-72,-13
-8,-72,-20
-7,-77,-14
-20,-75,-16
-44,-79,-17
-46,-61,-6
-41,-62,4
-26,-58,11
-24,-59,6
-12,-52,-4
-4,-49,-8
9,-47,-16
18,-45,-25
22,-46,-26
22,-41,-9
26,-42,-7
28,-45,-2
32,-51,2
32,-56,1
24,-49,-10
5,-54,-12
0,-54,-11
1,-56,-14
-6,-63,-16
-14,-64,-16
-18,-63,-16
-23,-66,-7
-24,-67,-8
-17,-69,-12
-20,-67,-9
-27,-64,-9
-24,-62,-11
-25,-60,-14
-21,-56,-15
-22,-54,-15
-25,-54,-19
-29,-54,-21
-28,-57,-22
-9,-61,-25
-6,-59,-17
-2,-61,1
-5,-65,1
10,-69,12
8,-62,18
8,-62,15
14,-66,7
16,-62,8
18,-64,2
12,-58,10
6,-59,11
5,-68,-2
8,-63,-3
8,-60,1
9,-62,-4
9,-55,4
4,-60,-7
5,-60,-11
12,-56,1
19,-55,5
19,-58,8
14,-66,4
14,-61,4
19,-60,8
18,-64,4
20,-60,3
15,-62,-3
6,-59,-2
20,-60,9
16,-60,-2
21,-60,-3
27,-59,-1
25,-60,-11
25,-59,-8
18,-61,-6
18,-59,1
16,-59,2
16,-60,-2
17,-60,-2
17,-59,-2
17,-60,-3
19,-59,-4
22,-60,-5
22,-60,-5
18,-60,-4
18,-60,-3
18,-60,-4
18,-60,-6
20,-60,-5
19,-58,3
16,-59,4
17,-58,7
17,-58,7
19,-59,8
20,-59,5
21,-58,4
23,-58,4
21,-57,4
22,-61,-8
35,-56,-1
31,-55,2
20,-59,0
20,-58,3
23,-57,6
22,-58,4
26,-56,6
26,-57,5
27,-56,6
29,-56,9
22,-58,4
25,-57,5
26,-56,4
33,-56,6
24,-54,4
19,-56,2
22,-58,1
22,-55,0
30,-58,-3
29,-54,1
27,-55,2
30,-57,-3
27,-57,-7
31,-55,-3
25,-55,-7
12,-56,-18
27,-58,-5
43,-56,7
36,-56,-2
27,-58,-13
18,-55,-19
24,-61,-28
33,-56,-21
23,-49,-11
17,-62,-11
31,-56,4
28,-56,1
35,-56,12
20,-56,10
10,-58,3
22,-61,-21
24,-58,-29
38,-55,-8
16,-57,-11
3,-62,-20
25,-57,9
20,-57,6
29,-57,12
25,-55,11
0,-62,-25
29,-56,-6
23,-58,-1
29,-58,10
28,-59,6
28,-57,4
17,-59,-15
17,-57,-8
17,-59,-2
18,-57,3
24,-58,4
23,-58,3
36,-61,-7
36,-62,-20
21,-54,-22
-11,-49,-34
-6,-46,-21
-16,-47,-17
-17,-46,-19
-16,-39,-3
-26,-44,6
-33,-47,5
-41,-35,16
-39,-30,25
-34,-8,49
-50,-6,56
-64,-9,62
-70,-13,68
-71,-7,67
-70,-10,49
-59,-4,44
-46,3,42
-37,6,45
-52,10,46
-55,8,40
-49,2,45
-30,15,53
-30,6,48
-34,7,38
-35,5,47
-43,4,50
-48,2,51
-51,-2,42
-49,-7,44
-47,-11,59
-45,-8,55
-42,-6,42
-47,-7,41
-47,-2,42
-50,-4,40
-47,-5,41
-42,-5,47
-42,-4,49
-43,-4,46
-43,-4,46
-43,-4,47
-43,-4,47
-43,-3,47
-41,-3,49
-41,-3,49
-42,-3,49
-42,-3,48
-42,-3,49
-41,-3,49
-40,-3,49
-40,-3,49
-41,-3,49
-41,-4,48
-41,-3,48
-41,-3,48
-41,-3,49
-41,-3,49
-41,-4,49
-40,-4,49
-41,-4,48
-41,-4,48
-41,-4,48
-41,-4,49
-41,-3,49
-41,-3,48
-41,-3,49
-41,-3,49
-41,-4,49
-41,-3,48
-41,-4,48
-41,-3,49
-41,-4,49
-41,-3,49
-41,-4,48
-41,-4,49
-41,-4,48
-41,-4,49
-41,-3,49
-41,-4,49
-41,-3,49
-41,-3,49
-41,-4,49
-41,-4,49
-41,-4,49
-41,-4,48
-41,-4,49
-41,-4,49
-41,-4,49
-41,-4,49
-41,-3,49
-41,-3,49
-41,-4,49
-41,-3,49
-41,-3,49
-41,-4,49
-41,-3,49
-41,-3,49
-41,-4,49
-41,-3,49
-41,-3,49
-41,-3,49
-41,-3,49
-41,-4,49
-41,-3,49
-41,-3,49
-41,-3,49
-41,-3,49
-41,-3,49
-41,-3,49
-40,-3,49
-42,-4,48
-42,-4,48
-41,-4,48
-41,-4,48
-40,-3,50
-41,-3,50
-41,-3,50
-40,-4,48
-40,-4,48
-40,-4,49
-40,-4,49
-41,-4,49
-40,-4,49
-41,-4,49
-41,-3,49
-40,-4,49
-41,-4,48
-41,-4,48
-42,-3,49
-40,-3,49
-41,-4,49
-40,-3,49
-40,-3,49
-40,-3,49
-40,-3,49
-40,-3,49
-41,-3,49
-40,-3,50
-40,-4,49
-40,-4,49
-41,-3,49
-40,-4,50
-40,-3,50
-40,-3,50
-40,-4,49
-40,-3,49
-40,-3,49
-40,-3,49
-40,-3,49
-40,-4,49
-40,-4,50
-41,-4,49
-40,-3,49
-40,-3,49
-40,-3,49
-40,-3,50
-40,-3,50
-40,-3,50
-40,-4,50
-40,-3,50
-40,-3,49
-40,-3,50
-40,-3,49
-40,-3,49
-40,-3,49
-40,-3,49
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-39,-3,50
-40,-3,50
-40,-3,50
-39,-3,49
-40,-3,50
-40,-3,50
-39,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,49
-40,-3,50
-40,-3,49
-39,-3,50
-40,-3,50
-40,-4,50
-40,-3,50
-40,-3,49
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,49
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,49
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-39,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-39,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-39,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-39,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,49
-39,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,50
-40,-3,49
-40,-3,50
-40,-3,50
-40,-3,50
