1520862295.000000, 1520862295.000000, 1520862295.000000
32.000000, 32.000000, 32.000000
30,-17,53
29,-17,53
29,-17,53
30,-17,53
29,-17,53
29,-17,53
29,-17,53
30,-17,53
30,-18,53
29,-18,53
30,-17,53
29,-18,53
29,-18,53
29,-18,53
30,-17,53
30,-18,53
29,-18,53
29,-18,53
30,-18,53
30,-17,53
29,-18,53
30,-18,53
30,-17,53
29,-18,53
29,-17,53
30,-18,53
30,-17,53
29,-18,53
30,-17,53
30,-17,53
30,-18,53
30,-17,53
30,-18,53
29,-17,53
30,-18,53
30,-18,53
29,-17,53
30,-17,53
30,-17,53
29,-18,53
29,-17,53
29,-17,53
29,-17,53
29,-18,53
30,-17,53
29,-17,53
29,-18,53
30,-17,53
30,-18,53
29,-18,53
29,-18,53
30,-17,53
30,-17,53
29,-17,53
30,-17,53
30,-17,53
29,-18,53
29,-17,53
29,-18,53
30,-17,53
29,-17,53
30,-17,53
30,-18,53
29,-17,53
30,-17,53
30,-17,53
30,-18,53
29,-18,53
30,-17,53
30,-17,53
30,-17,53
29,-18,53
30,-17,53
29,-17,53
29,-18,53
30,-17,53
30,-17,53
30,-18,53
30,-17,53
29,-17,53
30,-18,53
30,-18,53
30,-18,53
30,-17,53
30,-18,53
30,-18,53
30,-18,53
30,-18,53
29,-18,53
30,-17,53
30,-17,53
30,-18,53
30,-17,53
30,-18,53
29,-18,53
29,-17,53
30,-17,53
29,-18,53
29,-17,53
30,-18,53
30,-17,53
29,-18,53
29,-18,53
29,-18,53
30,-18,53
30,-18,53
29,-18,53
29,-18,53
30,-18,53
29,-17,53
30,-17,53
30,-17,53
30,-17,53
29,-18,53
29,-17,53
30,-17,53
29,-18,53
30,-17,53
30,-17,53
30,-17,53
30,-17,53
30,-17,53
30,-17,53
29,-17,53
30,-17,53
30,-17,53
30,-17,53
30,-17,53
29,-17,53
30,-17,53
30,-17,53
30,-17,53
30,-17,53
29,-17,53
29,-17,53
30,-17,53
30,-17,53
29,-17,53
30,-17,53
30,-17,53
30,-17,53
30,-17,53
30,-17,53
30,-17,53
30,-17,53
29,-17,53
29,-17,53
30,-17,53
30,-17,53
29,-17,53
30,-17,53
30,-17,53
29,-17,53
29,-17,53
30,-17,53
30,-17,53
29,-17,53
30,-17,53
30,-17,53
29,-17,53
30,-17,53
30,-17,53
30,-17,53
30,-17,53
30,-17,53
29,-17,53
29,-17,53
29,-17,53
30,-17,53
30,-17,53
30,-17,53
30,-17,53
30,-17,53
30,-17,53
29,-17,53
